** Analysing add(key, value) speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,28
large-town.txt,2255053,50000,75
city.txt,4511688,100000,103
large-city.txt,22554540,500000,692
metropolis.txt,45107513,1000000,2138
capital.txt,90209834,2000000,5512
megalopolis.txt,227564229,5000000,10978
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,0
large-town.txt,2255053,50000,78
city.txt,4511688,100000,110
large-city.txt,22554540,500000,562
metropolis.txt,45107513,1000000,1470
capital.txt,90209834,2000000,2664
megalopolis.txt,227564229,5000000,5993
