** Analysing toSortedArray() speed **
testfile,bytes,elements,time (ms)
Binary search tree:
village.txt,4561,100,0
small-town.txt,44892,1000,78
town.txt,451617,10000,32
large-town.txt,2255053,50000,157
city.txt,4511688,100000,295
large-city.txt,22554540,500000,1521
metropolis.txt,45107513,1000000,3619
capital.txt,90209834,2000000,8218
Hashtable:
village.txt,4561,100,0
small-town.txt,44892,1000,0
town.txt,451617,10000,16
large-town.txt,2255053,50000,125
city.txt,4511688,100000,235
large-city.txt,22554540,500000,1438
metropolis.txt,45107513,1000000,3611
capital.txt,90209834,2000000,7489
